basepath,xsection_pb,n_events
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB__cHBtil_p1_p1_ecm240,0.0033392454748482504,9675.036
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB__cHWB_p1_p1_ecm240,0.0033391733017345245,9583.59
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB__cHWBtil_p1_p1_ecm240,0.00333930841152234,9599.486
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB__cHW_p1_p1_ecm240,0.0033386200079497472,9652.347
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB__cHWtil_p1_p1_ecm240,0.0033386556232651013,9589.912
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB_m1_ecm240,0.0033393263725326537,9617.506
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHB_p1_ecm240,0.003339196223653395,9668.168
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHBtil__cHWB_p1_p1_ecm240,0.0033390732482136373,9748.969
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHBtil__cHWBtil_p1_p1_ecm240,0.0033395300003093826,9694.756
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHBtil__cHW_p1_p1_ecm240,0.0033397296836609625,9673.345
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHBtil__cHWtil_p1_p1_ecm240,0.003339602438565899,9684.46
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHBtil_m1_ecm240,0.003339349654784081,9696.425
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHBtil_p1_ecm240,0.0033388621528758736,9661.456
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHWB__cHWBtil_p1_p1_ecm240,0.0033392073942564286,9594.624
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHWB_m1_ecm240,0.0033391637487454992,9675.818
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHWB_p1_ecm240,0.003339000779818882,9740.399
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHWBtil_m1_ecm240,0.003339066044426626,9619.384
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHWBtil_p1_ecm240,0.00333958180821698,9690.302
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHW__cHWB_p1_p1_ecm240,0.0033397287939774946,9715.316
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHW__cHWBtil_p1_p1_ecm240,0.0033392975000532507,9636.077
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHW__cHWtil_p1_p1_ecm240,0.0033393077215991894,9632.331
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHW_m1_ecm240,0.0033393500545511206,9616.615
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHW_p1_ecm240,0.0033390804174691716,9615.253
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_cHWtil__cHWB_p1_p1_ecm240,0.0033393972013450028,9635.009
